,acid,alcohol,botrytis,color_concentration,floral,high_terpenes,hue,low_terpenes,oak,oxidation,phenolic_bitterness,pommaceous_fruit,pyrazines,residual_sugar,stone_fruit,style_name,thiols,white_pepper
0,high,moderate,0,light,1,0,yellow,1,0,0,1,0,0,dry,0,Gruner Veltliner - Federspiel,0,0
1,high,moderate,0,light,1,0,straw,0,0,0,1,0,0,dry,0,Gruner Veltliner - Federspiel,1,1
2,high,moderate,0,light,1,0,straw,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,1,1
3,elevated,moderate,0,light,0,0,straw,0,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,1,1
4,elevated,moderate,0,light,1,0,straw,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,1,1
5,high,moderate,0,light,1,0,straw,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,0,0
6,high,moderate,0,light,0,0,straw,0,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,1,0
7,elevated,moderate,0,moderate,0,0,straw,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,0,1
8,elevated,moderate,0,light,0,0,yellow,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,1,1
9,high,moderate,0,light,0,0,straw,0,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,1,1
10,elevated,moderate,0,moderate,1,0,yellow,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,1,1
11,high,moderate,0,light,1,0,straw,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,0,1
12,elevated,moderate,0,light,1,0,straw,0,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,1,1
13,high,moderate,0,moderate,1,0,yellow,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,0,1
14,elevated,moderate,0,light,1,0,straw,1,0,0,1,0,0,dry,0,Gruner Veltliner - Federspiel,0,1
15,elevated,moderate,0,moderate,1,0,straw,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,1,1
16,elevated,moderate,0,light,1,0,straw,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,0,1
17,elevated,moderate,0,light,1,0,yellow,1,0,0,1,0,0,dry,0,Gruner Veltliner - Federspiel,0,1
18,elevated,moderate,0,light,1,0,yellow,1,0,0,1,0,0,dry,0,Gruner Veltliner - Federspiel,0,1
19,elevated,moderate,0,light,1,0,straw,1,0,0,1,0,0,dry,0,Gruner Veltliner - Federspiel,1,1
20,elevated,moderate,0,moderate,1,0,straw,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,1,0
21,elevated,moderate,0,light,0,0,straw,0,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,0,1
22,elevated,moderate,0,light,0,0,yellow,0,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,0,1
23,elevated,moderate,0,light,0,0,straw,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,1,0
24,elevated,moderate,0,light,0,0,straw,0,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,1,1
25,high,moderate,0,light,0,0,straw,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,0,1
26,elevated,moderate,0,light,1,0,yellow,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,0,1
27,elevated,moderate,0,light,0,0,straw,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,1,1
28,elevated,moderate,0,light,1,0,yellow,0,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,0,0
29,elevated,moderate,0,moderate,0,0,straw,1,0,0,1,0,0,dry,1,Gruner Veltliner - Federspiel,0,1
0,high,moderate,0,light,0,0,yellow,0,0,0,0,0,1,dry,0,Sancerre,1,0
1,high,moderate,0,light,0,0,yellow,0,0,0,0,0,1,dry,0,Sancerre,1,0
2,high,moderate,0,light,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
3,high,moderate,0,light,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
4,high,moderate,0,light,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
5,high,moderate,0,light,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,0,0
6,high,moderate,0,light,0,0,yellow,0,0,0,0,0,1,dry,0,Sancerre,1,0
7,high,moderate,0,moderate,0,0,yellow,0,0,0,0,0,1,dry,0,Sancerre,1,0
8,high,moderate,0,moderate,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
9,high,moderate,0,light,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
10,high,moderate,0,light,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,0,0
11,high,moderate,0,light,0,0,yellow,0,0,0,0,0,1,dry,0,Sancerre,1,0
12,high,moderate,0,moderate,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
13,high,moderate,0,moderate,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
14,high,moderate,0,light,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
15,high,moderate,0,light,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
16,high,moderate,0,moderate,0,0,yellow,0,0,0,0,0,1,dry,0,Sancerre,1,0
17,high,moderate,0,light,0,0,yellow,0,0,0,0,0,1,dry,0,Sancerre,1,0
18,high,moderate,0,light,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
19,high,moderate,0,light,0,0,yellow,0,0,0,0,0,1,dry,0,Sancerre,1,0
20,high,moderate,0,light,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
21,high,moderate,0,light,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,0,0
22,high,moderate,0,light,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
23,high,moderate,0,light,0,0,yellow,0,0,0,0,0,1,dry,0,Sancerre,1,0
24,high,moderate,0,light,0,0,yellow,0,0,0,0,0,1,dry,0,Sancerre,1,0
25,high,moderate,0,light,0,0,yellow,0,0,0,0,0,1,dry,0,Sancerre,1,0
26,high,moderate,0,light,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
27,high,moderate,0,light,0,0,yellow,0,0,0,0,0,1,dry,0,Sancerre,1,0
28,high,moderate,0,moderate,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
29,high,moderate,0,light,0,0,straw,0,0,0,0,0,1,dry,0,Sancerre,1,0
0,elevated,moderate,0,light,1,1,yellow,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
1,moderate,moderate,0,moderate,1,1,yellow,0,0,0,1,0,0,off-dry,0,Gewurztraminer (Alsace,0,0
2,diminished,elevated,0,moderate,1,1,yellow,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
3,diminished,elevated,0,elevated,1,1,yellow,0,0,0,1,0,0,off-dry,0,Gewurztraminer (Alsace,0,0
4,moderate,moderate,0,moderate,1,1,straw,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
5,moderate,elevated,0,moderate,1,1,straw,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
6,diminished,elevated,0,moderate,1,1,yellow,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
